Source Coordinate,Target Coordinate,Path Type,Obstacle,Path ID,Channel coefficient,Propagation delay,Zenith angle of departure,Azimuth angle of departure,Zenith angle of arrival,Azimuth angle of arrival
[[-24. -14.  10.]],[[-2.  1.  5.]],[[1 1 1 1 1 1 1 1]],1,0,(-1.8347539e-05-0.000105501014j),0.0,2.036069,0.59841895,2.036069,-2.5431738
[[-24. -14.  10.]],[[-2.  2.  5.]],[[1 1 1 1]],1,0,(-5.079139e-08+1.8439e-08j),0.3306849976070225,1.5980926,1.7931324,1.5434994,-1.7931293
[[-24. -14.  10.]],[[-2.  3.  5.]],[[1 1 1 1 1 1 1 1]],1,0,(3.9705674e-07+1.0784568e-06j),0.005702332828150247,1.8669305,2.743121,1.8669301,-2.743121
[[-24. -14.  10.]],[[-2.  4.  5.]],[[1 1 1 1 1 1 1]],0,0,(-3.4709636e-05-0.00010113914j),0.0,2.0103803,0.68572956,2.0103803,-2.4558632
[[-24. -14.  10.]],[[-2.  5.  5.]],[[1 1 1 1 1 1 1]],0,0,(-4.0135685e-05-9.959292e-05j),0.0,2.0018206,0.7123576,2.0018206,-2.429235
[[-24. -14.  10.]],[[-2.  6.  5.]],[[1 1 1 1 1 1 1 1]],0,0,(-4.5498582e-05-9.801182e-05j),0.0,1.99332,0.737815,1.99332,-2.4037776
[[-24. -14.  10.]],[[-2.  7.  5.]],[[1]],0,0,(2.2608215e-06-1.6010056e-07j),0.0,1.6141409,-1.3787826,1.5274514,1.7628103
[[-24. -14.  10.]],[[-2.  8.  5.]],[[1]],0,0,(2.2950642e-06-1.625214e-07j),0.0,1.6145127,-1.3771129,1.5270797,1.76448
[[-24. -14.  10.]],[[-2.  9.  5.]],[[1 1 1]],0,0,(5.929012e-07+1.0464346e-06j),0.0,1.8508874,2.623842,1.8508871,-2.6238422
[[-24. -14.  10.]],[[-2. 10.  5.]],[[0 1 1 1 1]],0,0,(0.0007276974+0j),0.0,1.7231796,0.828849,1.418413,-2.3127437
[[-24. -14.  10.]],[[-2. 11.  5.]],[[0 1 1 1 1 1 1 1]],0,0,(0.0007121646+0j),0.0,1.7198261,0.84914154,1.4217666,-2.2924511
[[-24. -14.  10.]],[[-2. 12.  5.]],[[0 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.0006970089+0j),0.0,1.7165604,0.86853945,1.4250324,-2.2730532
[[-24. -14.  10.]],[[-2. 13.  5.]],[[0 1 1 1 1 1 1]],0,0,(0.00068224035+0j),0.0,1.7133842,0.88708705,1.4282086,-2.2545056
[[-24. -14.  10.]],[[-2. 14.  5.]],[[0 1 1 1 1 1 1 1]],0,0,(0.00066786504+0j),0.0,1.7102984,0.9048271,1.4312943,-2.2367656
[[-24. -14.  10.]],[[-2. 15.  5.]],[[0 1 1 1 1 1 1 1 1]],0,0,(0.00065388554+0j),0.0,1.7073028,0.9218008,1.4342899,-2.219792
[[-24. -14.  10.]],[[-2. 16.  5.]],[[0 1 1 1 1 1 1 1]],0,0,(0.00064030173+0j),0.0,1.7043968,0.9380475,1.4371959,-2.203545
[[-24. -14.  10.]],[[-2. 17.  5.]],[[0 1 1 1 1 1 1 1 1 1 1 1 1]],0,0,(0.00062711065+0j),0.0,1.7015792,0.95360494,1.4400135,-2.1879878
[[-24. -14.  10.]],[[-2. 18.  5.]],[[0 1 1 1 1 1 1 1 1 1]],0,0,(0.000614308+0j),0.0,1.6988485,0.9685091,1.4427443,-2.1730838
[[-24. -14.  10.]],[[-2. 19.  5.]],[[0 1 1 1 1 1 1 1 1]],0,0,(0.00060188735+0j),0.0,1.6962032,0.9827938,1.4453895,-2.158799
[[-24. -14.  10.]],[[-2. 20.  5.]],[[0 1 1 1 1 1 1 1]],0,0,(0.00058984157+0j),0.0,1.6936411,0.9964915,1.4479517,-2.1451013
[[-24. -14.  10.]],[[-2. 21.  5.]],[[0 1 1 1 1 1]],0,0,(0.0005781621+0j),0.0,1.6911597,1.009633,1.4504329,-2.1319597
[[-24. -14.  10.]],[[-2. 22.  5.]],[[0 1 1 1 1 1]],0,0,(0.00056683994+0j),0.0,1.6887575,1.022247,1.4528352,-2.1193457
